Marka,Yil,Kilometre,Talep_Skoru,Fiyat
Dacia,2017.0,978000.0,75,285000.0
Dacia,2016.0,120000.0,75,725000.0
Dacia,2020.0,205000.0,75,855000.0
Dacia,2010.0,242000.0,75,380000.0
Dacia,2015.0,156000.0,75,685000.0
Dacia,2008.0,272000.0,75,369000.0
Dacia,2010.0,170000.0,75,399500.0
Dacia,2019.0,448800.0,75,420000.0
Nissan,2022.0,66000.0,85,989750.0
Dacia,2009.0,148000.0,75,435000.0
Dacia,2015.0,190750.0,75,620000.0
Nissan,2006.0,149000.0,85,489999.0
Dacia,2016.0,129500.0,75,457500.0
Dacia,2006.0,202539.0,75,350000.0
Nissan,2011.0,60000.0,85,729999.0
Nissan,2008.0,170000.0,85,535750.0
Nissan,2008.0,100000.0,85,689750.0
Nissan,2006.0,175000.0,85,579999.0
Nissan,2005.0,75000.0,85,575999.0
Nissan,2006.0,175000.0,85,579999.0
Nissan,2008.0,104000.0,85,649999.0
Nissan,2007.0,220000.0,85,265999.0
Nissan,1998.0,270000.0,85,239000.0
Nissan,2017.0,122000.0,85,639000.0
Nissan,2003.0,167000.0,85,355000.0
Nissan,1997.0,410000.0,85,241500.0
Nissan,2021.0,29000.0,85,1099750.0
Nissan,2005.0,289000.0,85,310000.0
Nissan,1997.0,340000.0,85,297000.0
Nissan,2007.0,188000.0,85,330000.0
Nissan,2006.0,250000.0,85,380000.0
Nissan,2001.0,268000.0,85,360000.0
Nissan,1992.0,385000.0,85,198000.0
Nissan,2017.0,55000.0,85,849999.0
Nissan,2009.0,120000.0,85,689750.0
Nissan,2012.0,159000.0,85,670000.0
Nissan,2009.0,105000.0,85,490000.0
Nissan,2014.0,52500.0,85,785000.0
Nissan,1997.0,460000.0,85,325000.0
Nissan,2000.0,190000.0,85,370000.0
Nissan,2011.0,210000.0,85,550000.0
Nissan,2006.0,210000.0,85,380000.0
Nissan,2005.0,297000.0,85,300000.0
Nissan,1997.0,245000.0,85,285000.0
Nissan,2010.0,236000.0,85,400000.0
Nissan,2000.0,261000.0,85,315000.0
Nissan,2001.0,306000.0,85,319800.0
Nissan,2005.0,242200.0,85,315000.0
Nissan,2004.0,189000.0,85,405000.0
Nissan,2007.0,165000.0,85,539999.0
Nissan,2005.0,113000.0,85,589750.0
Nissan,2006.0,230000.0,85,330000.0
Nissan,2001.0,323100.0,85,292000.0
Nissan,2001.0,147504.0,85,400000.0
Nissan,2004.0,124000.0,85,450000.0
Nissan,2007.0,250000.0,85,435000.0
Nissan,2005.0,260000.0,85,410000.0
Nissan,2007.0,178000.0,85,305000.0
Nissan,2022.0,32335.0,85,1129000.0
Nissan,2006.0,200100.0,85,365000.0
Nissan,2019.0,55000.0,85,860000.0
Nissan,2013.0,117000.0,85,765000.0
Kia,2020.0,68000.0,70,750000.0
Kia,2016.0,180000.0,70,875000.0
Kia,2016.0,265000.0,70,457000.0
